user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,Column1,compliment_photos,,,
_frRBxw5Fb80ISG4ELlPww,Matthew,10,09/09/2016 04:02,8,4,3,0,2.93,0,0,0,0,0,13,0,0,0,0,1,0,,,
_glN-BiTOtFspxvdjDnR_w,TheShe,72,30/04/2012 02:52,97,15,23,2,4.55,0,0,0,0,0,2,1,1,1,1,1,0,,,
_gmrPyxBmRRPOvFmIFkg9Q,Sheree,4,14/09/2012 00:11,1,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,1,0,,,
_h7bc9ykgmF8uqrFnscJXg,Karen,1,28/08/2018 16:24,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
_HECmvoJyueh1lnbtuJjSQ,Kim,8,18/09/2012 17:04,3,1,0,0,4.38,0,0,0,0,0,0,0,0,0,0,1,0,,,
_J-8G-2faLHdGbFCuTHlww,James,26,20/09/2013 23:29,22,14,13,1,4.89,0,0,0,0,0,0,0,1,1,0,1,0,,,
_JtcWGJftyBWC3M4DmUUnw,Erin,64,15/10/2008 02:39,172,70,64,1,3.48,0,4,0,0,0,4,2,12,12,0,1,0,,,
_l1viOiR54PBgX7xfTZd6g,Carlie,3,29/07/2012 01:11,1,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,1,0,,,
_l7uASVfv5k0NPhX1-hFuQ,Rebecca,25,13/06/2014 23:21,20,2,6,0,3.81,0,0,0,0,0,0,0,0,0,0,1,0,,,
_Lp-svmQzAqZobRkiTEEuw,Sharon,5,26/06/2014 02:58,9,0,1,0,4.2,0,0,0,0,0,0,0,0,0,0,1,0,,,
_lQ9kg-SXdaKNyvRS-I4Ug,Victor,58,27/12/2014 03:49,24,5,11,1,4.11,0,0,0,0,0,0,1,0,0,0,1,1,,,
_lwu1qmtNHA3TpFM0oXi4A,Justine,23,10/06/2010 00:10,49,19,6,6,3.04,0,0,0,1,0,0,0,0,0,1,1,1,,,
_MdNc9oQDkphUqzRDcXZtA,Steve,55,31/07/2012 16:54,73,19,26,8,4.31,1,2,0,0,0,0,1,0,0,2,1,0,,,
_nKDsC75Rfev0zeMaucQJw,Martha,55,02/08/2012 05:42,42,4,5,0,3.89,0,0,0,0,0,0,1,0,0,0,1,0,,,
_Nq0OYLEv2qkY4Sn_Iuj2g,K,13,19/12/2013 01:39,6,1,1,0,3.38,0,0,0,0,0,0,0,0,0,0,1,0,,,
_nuogdxgL24-ghk5n-XcvA,Eileen,12,04/05/2011 05:06,13,7,6,1,4.67,1,0,0,0,0,0,0,0,0,0,1,0,,,
_pgRSpBxMaE11FCDHbpzSw,Marilyn,25,31/05/2014 15:57,70,25,47,0,4.6,0,0,0,0,0,0,2,3,3,1,1,0,,,
_plAErowm_5m-Gsdy0VuGQ,Mike,13,03/06/2013 17:49,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,,,
_QzZa9SOFZQbL0xi1oiDpQ,Leah,110,11/01/2008 11:29,495,190,351,15,4.19,110,5,1,5,2,23,18,94,94,16,1,8,,,
_r64YjBJypX3I06APUCNng,Crystal,19,03/09/2015 17:32,21,2,9,0,4.2,0,0,0,0,0,0,0,0,0,0,1,0,,,
_rhYsgWA03_D88d3xEGFvw,Angela,461,28/01/2008 06:09,3709,2574,3048,106,4.05,870,61,55,54,22,410,750,932,932,430,1,111,,,
_rN7EuTonLoUCa6wCX1FUQ,Tim,2,16/04/2014 22:15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
_RyeaWkEfTlzHpYsLqUkQQ,Mark,14,19/03/2014 23:01,8,2,1,0,3.64,0,0,0,0,0,0,0,0,0,0,1,0,,,
_sQLRnfO79EwBulezg0Cpw,Chrystal,5,10/10/2016 22:51,1,1,0,0,3.2,0,0,0,0,0,0,0,0,0,0,1,0,,,
_syQ-h8RzyyS8GoshprYTw,Jonathan,22,06/09/2013 19:48,17,12,1,0,4.28,0,0,0,0,0,0,0,0,0,0,1,0,,,
_TdHvILmPHk6jsmbUMNvzA,Kevin,11,23/10/2013 14:16,21,1,1,1,3.23,0,0,0,0,0,0,0,0,0,0,1,0,,,
_U5GoJBo3CHbYEXXgqvOuA,M.B.,90,09/08/2010 04:47,115,24,31,3,3.76,0,1,0,0,0,1,3,1,1,1,1,0,,,
_uUPSl6uzfT1xXBm3_Lglw,Kennadi,7,28/04/2016 01:51,4,1,1,0,4.78,0,0,0,0,0,0,0,0,0,0,1,0,,,
_vEzkq2rR6_NAOEFlmukKA,Sal,5,07/11/2015 17:01,6,0,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
_vfdwM1x4xKb9D-wzyDNPw,Mark,17,23/04/2011 16:03,8,3,5,0,4.47,0,0,0,0,0,0,0,0,0,0,1,0,,,
_VZy3tnI-rQ5GutBHDr5WQ,Jim,12,12/10/2016 18:47,2,0,1,0,3.87,0,0,0,0,0,0,0,0,0,0,1,0,,,
_x7j_RerBqaXgNkVuT4CHw,January,148,09/02/2013 16:15,362,200,127,5,4.04,0,0,1,0,0,0,7,1,1,3,1,1,,,
_x95hbrr0anc3V3n1U1M2Q,Jesse,7,01/11/2014 02:05,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,,,
_x9g5-4pXUIN-ApFVMVR4w,Tom,14,20/03/2015 21:58,14,2,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,,,
_ycmlabQK1-ZNU0OqDcepg,Stuart,10,07/02/2009 21:03,16,5,0,5,3.58,0,0,0,0,0,3,0,1,1,1,1,0,,,
_ym-qJDR8OpkAwHAXmZAvA,Matt,59,15/10/2010 00:31,46,6,10,1,4.48,0,0,0,0,0,0,1,0,0,1,1,0,,,
_zlg9M-scbRc5FxBPBbxlA,C,25,24/07/2011 21:46,27,3,4,0,3.96,0,0,0,0,0,2,0,0,0,0,1,0,,,
_zR_YufhDeXs4c020eWWOA,Golnaz,530,19/07/2010 21:54,803,237,394,37,4.33,9,0,2,3,0,12,17,27,27,7,1,4,,,
0_G2v82g-l3JST5sP87EHQ,Deanna,2,24/01/2018 12:58,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,,,
01h8PZvYH5BytK7G0cKdSw,Lynne,8,26/06/2011 21:11,28,5,2,0,3.5,0,0,0,0,0,0,1,0,0,0,1,0,,,
01zKaTmnDSFzK8WOnEYpFw,Lindsey,13,22/12/2010 15:43,12,4,7,0,4.85,0,0,0,0,0,0,1,0,0,1,1,0,,,
02g5xPzR7wWDTYhUs9gBAg,Amanda,11,20/09/2015 17:41,9,0,1,1,3.47,0,1,0,0,0,0,0,0,0,0,1,0,,,
04_WN-Llig0Xq9IEwxfSvw,David,3,22/08/2015 14:05,3,0,1,0,1.2,0,0,0,0,0,0,0,0,0,0,1,0,,,
04IiTqlbW0aX2TZUinUZ7w,Mark,10,04/06/2013 05:57,16,2,2,1,3.2,0,0,0,0,0,0,0,0,0,0,1,0,,,
05oWcmL39RuxF8hHhd22IQ,Kassandra,64,06/02/2016 23:30,133,22,97,7,4.34,2,0,0,0,0,1,1,1,1,4,1,1,,,
0ApDtplRx8AQ4AxLSjdiEg,Jennifer,2,09/09/2016 18:07,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,1,0,,,
0Av3NBny20JaJ_5ywS6MEg,Selina,12,22/02/2015 16:39,9,0,3,0,4.67,0,0,0,0,0,0,0,0,0,0,1,0,,,
0AVe4OhAOKmZ4zl5DlSX2A,Tana,20,18/05/2013 02:59,9,3,2,0,4.05,0,0,0,0,0,0,0,0,0,0,1,0,,,
0BvQRSWe7VMdiK0vReCPZg,Alec,3,20/07/2017 02:09,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
0bzu2z06rqOCvwYxtGOe0A,Rasheda,103,08/01/2015 15:01,38,9,10,0,3.75,0,0,0,0,0,0,0,0,0,0,1,0,,,
0CVrD89fxmo51DpzPsC6rA,Danmo,626,07/03/2011 21:31,2393,1460,1623,47,3.8,74,2,6,4,1,92,319,162,162,86,1,44,,,
-0dOdNR_GMZq0yHWYuwRaw,D L,41,19/06/2013 01:52,12,0,2,0,4.93,0,0,0,0,0,0,0,0,0,0,1,0,,,
0DtYzXkkX2LkZ9h6ToP9wg,Nat,113,21/02/2012 23:33,161,38,59,2,2.93,3,1,0,0,0,0,2,6,6,4,1,0,,,
0e6HzFa82kdOrJjJJKsxcA,BryanandBarbara,5,15/11/2008 16:07,11,1,6,0,5,0,1,0,0,0,0,0,0,0,0,1,0,,,
0eNFVr4RebPlQ6EvJJhH9A,Brian,14,28/01/2011 02:31,2,2,0,0,3.93,0,0,0,0,0,0,0,0,0,0,1,0,,,
0epB-7ILDoiKvfKv3rg19A,Bentley,45,28/04/2013 23:57,100,23,15,2,3.71,0,0,0,0,0,2,2,0,0,3,1,0,,,
0EUjgF0zrLxmC9f3OAoQPA,Gilbert,2,27/11/2011 17:53,0,0,0,0,4.5,0,0,0,0,0,1,0,0,0,0,1,0,,,
0fd4ihHX2iVccvj0ebeRkQ,Eric,43,05/08/2012 03:19,13,8,9,2,4.71,0,0,0,0,0,0,1,0,0,0,1,0,,,
0fKNIC3LK-DZWJfwYh3X9w,Kimberly,13,30/07/2013 02:31,14,8,4,0,3.08,1,0,0,0,0,1,0,0,0,0,1,0,,,
0gc3cgcUmDGhXQHtgOe65Q,Rajesh,14,25/12/2013 03:44,3,0,1,0,4.2,0,0,0,0,0,1,0,1,1,0,1,0,,,
0Gf0UbfO-XSdRYAb60kdUg,James,7,09/02/2013 18:05,18,6,4,0,2.57,0,0,0,0,0,0,0,0,0,1,1,0,,,
0HnWiWPQNTcGr2EjO9HINA,Logan,8,08/05/2017 04:07,2,1,2,0,4.88,0,0,0,0,0,0,0,0,0,0,1,0,,,
0HPD1oZnIwRnPhzqio2j3Q,Teresa,105,23/06/2015 12:22,57,20,24,3,3.69,1,0,0,0,0,0,1,0,0,0,1,0,,,
0iAT5qUuQ1dbUSUWb3i6Ug,Tyler,2,29/05/2016 22:03,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
0jD3xtSoulZaPo0vh9tiVw,James,24,08/07/2014 16:24,68,4,5,0,3.88,0,0,0,0,0,1,0,0,0,0,1,0,,,
0jRlZZLQ10isriYVtgvB5w,Alex,6,28/03/2011 00:59,19,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
0K-5FIYe_AHRa9WwORItfw,Lorena,18,11/10/2014 16:40,17,11,6,0,3.24,0,0,0,0,0,0,1,0,0,0,1,0,,,
0mP1Wkx0G39sT6ypeymnaA,S,18,24/04/2011 12:42,46,10,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,
0mvmUHuGQL2kRRkX14CkTw,Courtney,343,30/07/2009 20:29,625,111,383,20,4.2,5,2,1,1,0,8,17,16,16,6,1,2,,,
0N2-NqiOdmZcDZjBkFOn5w,Robert,9,16/04/2014 20:09,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,,,
0nOb3BaE5DfX8__CRf0nVw,Laura,14,14/10/2012 17:13,17,2,4,0,4.5,0,0,0,0,0,0,0,0,0,0,1,0,,,
0nvCek7AZJt_5ZaBU5sJpg,Sam,2,14/09/2012 05:50,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
0pDWJrCE9sbeBZBImEnWiA,M,10,19/10/2013 22:52,16,1,3,0,3.5,0,0,0,0,0,0,0,0,0,0,1,0,,,
0QkkJtEArAcqV2RCfvCN4Q,James,32,11/01/2011 22:34,31,6,3,1,3.7,0,0,0,0,0,0,1,0,0,0,1,0,,,
0qlnVHj9IGV2h5eg3G6wxQ,Carissa,16,11/01/2014 17:18,2,0,2,0,3.88,0,0,0,0,0,0,0,0,0,0,1,0,,,
0qYCPTAS11kPqhJoyF39AA,Joselyn,21,20/12/2016 20:02,21,9,5,0,3.48,0,0,0,0,0,0,1,0,0,0,1,0,,,
0RDV6fCgry6SCpCJbw9WmA,Sage,2,27/08/2006 07:04,3,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,,,
0SRML0UcLgG77o9C76eHNA,Josh,61,23/09/2017 18:35,36,4,13,2,3.77,0,0,0,0,0,0,0,0,0,0,1,1,,,
0tNlBkoHEY_9kPkikb3Zlw,Dani,95,28/11/2009 05:20,89,34,10,2,3.3,0,0,0,0,0,1,2,0,0,1,1,0,,,
0u_pDYliT-cvqiq4QK9nNw,Brock,3,21/07/2012 01:53,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,,,
0UI9KTPdtkwl9lMdMT-Sgg,Nadia,382,18/09/2006 21:01,1275,638,846,42,4.11,137,9,2,11,5,49,134,162,162,15,1,6,,,
0v7L7-0LegNDLqFYCOz4Zw,Caroline,33,12/08/2013 00:50,53,16,5,2,2.53,0,1,0,0,0,2,1,0,0,0,1,0,,,
0vNzJHkD5yohr70i_SgK0A,Brady,44,30/08/2011 00:11,50,2,6,2,3.96,0,0,0,0,0,1,0,0,0,0,1,0,,,
0w9Ive5mN49pChNZHVGqmg,Mega,34,13/05/2010 04:27,50,27,19,5,4.2,0,0,0,0,0,2,3,0,0,1,1,0,,,
0wHC4AZTnsN-y1QxY22EEg,Connor,18,23/03/2017 01:11,16,0,9,3,4.72,1,0,0,0,0,1,26,9,9,0,1,3,,,
0wNnXiWts1uB5nWfvoFRpQ,Peter,2,22/11/2014 23:04,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
0xPQsLxumKGr2GapW0Tcyg,Taylor,5,04/06/2015 23:58,4,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,1,0,,,
0XtljrKECVv5wMCM6BUoMQ,Derek,11,11/04/2010 16:45,6,0,2,1,4.27,0,1,0,0,0,1,1,0,0,0,1,0,,,
0YriQmmOk-1U92P6OoYdIA,Summer,4,29/07/2015 22:45,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,,,
0ZF7y9JBs-o_B2-GFqM60A,Paula,1,04/10/2015 18:36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,
1_4dTHzw7Z7DTCo5LClFVQ,Brian,19,28/09/2013 21:10,31,8,7,4,2.81,1,0,0,0,0,1,1,0,0,0,1,0,,,
11hWUzrfA2_UyTkCJDlOsA,Mike,20,29/07/2015 01:49,22,5,2,0,3.52,0,0,0,0,0,0,1,0,0,0,1,0,,,
127zuQf_yxpZNFPtAZCGsA,Brandi,48,02/02/2010 16:07,60,14,7,0,3.06,0,0,0,0,0,0,0,0,0,1,1,0,,,
149NKWQZtFNrwKGfGxOoUg,Jay,10,07/07/2013 01:32,11,2,1,0,3.3,0,0,0,0,0,0,0,0,0,0,1,0,,,
15vfLZJ4Xe1rQY71zmSYsQ,Laurie,8,20/10/2012 05:48,4,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,1,0,,,
16lSCC6hgiyUs9N1XsWJBQ,Traci,11,07/06/2009 00:05,4,4,4,3,4.33,0,0,0,0,0,0,0,0,0,0,1,0,,,
18qEoFOVEernpVLh97PQPQ,Ali,447,25/07/2014 22:54,2134,678,1647,88,4.19,50,4,0,2,0,17,30,98,98,62,1,30,,,
1AdQyWDtvrzhcJExdFd2AA,Debbi,9,14/04/2012 18:59,8,4,1,0,4,0,0,0,0,0,1,0,0,0,0,1,0,,,
1B0pcOEh23kd7DA4WAF5Jw,Carolyn,2,23/03/2016 15:22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,,,
1BQzJpBkp683R7Ws0ibGqg,Bethany,17,13/09/2010 01:54,31,7,3,1,3.59,0,0,0,0,0,0,0,0,0,0,1,0,,,
1bSMX-RZE1eNn0labpDrTg,Mike,75,30/04/2015 01:28,11,2,3,0,3.99,0,0,0,0,0,0,0,0,0,0,1,0,,,
1BTI75Hn9sqQ8P76tr-o5A,Mark,16,15/07/2012 20:13,17,3,4,1,3.94,1,0,0,1,0,1,0,0,0,0,1,0,,,
1CqkFliipv_X15WYn5aPfg,Tiffanie,68,14/01/2010 01:55,84,37,15,0,3.09,0,1,1,0,0,1,1,0,0,0,1,0,,,
1dKuj2IsCLq7Cw74R1u_7Q,Charisunee,2,28/03/2016 00:53,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
1DsuFRjdW0gDA23Xswzoqg,Kyle,501,16/09/2010 12:20,1210,500,461,43,3.78,19,4,3,0,1,34,59,83,83,25,1,2,,,
1EqvL9hxw0a0tG-wQVuWkg,John,10,03/06/2014 14:42,6,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1,0,,,
1eXBL1OC7Zv3jF9SNrQg6Q,Kayla,10,12/10/2013 02:28,5,1,4,0,4.64,0,0,0,0,0,0,0,0,0,0,1,0,,,
1ghFOCMBpo2bGaWu_c1tcg,Luciana,839,18/04/2010 17:26,620,137,200,28,3.99,4,1,4,0,0,10,30,7,7,8,1,0,,,
1Gr7EyWvr5G1wsus8AeoKg,Don,112,28/09/2008 08:53,245,231,172,17,4.14,3,2,0,1,0,14,8,18,18,7,1,2,,,
1gtcL0du7FkwpFWd96JIPA,Luis,64,13/08/2014 07:00,989,332,527,4,3.35,0,0,0,0,0,4,1,2,2,2,1,0,,,
1hGC1NLUqXoewJEx3ORviw,Ryan,12,28/10/2010 04:23,12,12,3,0,3.42,0,0,0,0,0,0,1,0,0,0,1,0,,,
1IkgUAWOOY1Dhhak4RoKJQ,A.,5,25/03/2013 22:48,3,0,1,0,4.8,0,0,0,0,0,0,0,0,0,0,1,0,,,
1iR5aFln3pSLswM5voiVqA,Carissa,1,22/04/2013 06:00,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
1Iw0-Cy6NdhuCU6Pcohbsw,Harold,89,07/12/2012 20:31,45,6,13,0,4.02,0,0,0,0,0,0,0,0,0,0,1,0,,,
1jN5--_p7hoWYNoqStazhw,Danny,6,02/04/2011 18:08,8,0,4,0,4.14,0,0,0,0,0,0,0,0,0,0,1,0,,,
1LCCiCl2WD4q-V1c3b0-LQ,Felicity,16,30/05/2016 01:43,3,0,0,1,4.04,0,0,0,0,0,2,0,0,0,0,1,0,,,
1lK3rzhjCH2_Tu4hztE9xw,Jaime,1,04/01/2012 21:46,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
1lsmiUvcjZcClYCRS1Q-Ag,Ahmanie,33,07/07/2014 18:07,40,4,5,2,4,0,0,0,0,0,0,1,0,0,0,1,1,,,
1mIyX23grC_gxIRUCH-2nw,Jeremy,11,07/09/2009 17:59,11,1,1,1,3.27,0,0,0,0,0,0,1,1,1,0,1,0,,,
1mkzYqkGdUzv7JnpI_4RTw,Keegan,13,12/02/2014 01:14,10,5,1,0,2.92,0,0,0,0,0,1,0,0,0,0,1,0,,,
1N3hM7J-gT-9CVhhdECvgg,Vanessa,1,01/11/2015 17:47,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,,,
1NDsC7qr1iX9IBra-NVHIQ,Michelle,183,13/01/2011 22:11,312,133,180,13,3.72,3,2,1,0,0,8,8,7,7,5,1,4,,,
1NibGpRG_7aEEleclWPrbw,Lyndsay,29,27/06/2012 20:29,15,4,2,0,4.97,0,0,0,0,0,1,0,0,0,1,1,0,,,
1pFwizvRKu4kKb5hYIZGDQ,Greg,244,27/08/2010 13:10,404,113,137,16,3.77,3,1,0,0,0,5,12,4,4,5,1,2,,,
1romC7liqqJi7L8a-NzJyg,Tracey,8,01/10/2011 00:40,12,1,1,0,3.5,0,0,0,0,0,0,0,0,0,0,1,0,,,
1sBkNxEp_mTb-ZXHBLStBw,Nellie,12,05/12/2009 02:06,13,1,1,0,2.8,0,0,0,0,0,0,0,0,0,0,1,0,,,
1sGYXSkJHPhJ6wQtc-RbZw,Kimberly,718,12/07/2009 01:03,3789,2130,2927,102,3.81,356,18,26,10,8,112,304,412,412,178,1,90,,,
1sVr6wOWDwslfczXpJdUJw,Aida,2,07/08/2016 00:08,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
1T_GE8kXGJeD674YIHiLBg,C,23,15/06/2012 19:26,27,8,3,0,4.13,0,0,0,0,0,1,0,0,0,0,1,0,,,
1T1x_58P-As_rB1mGITklw,Boyd,57,07/02/2015 19:36,70,21,18,3,4.31,0,0,1,0,0,1,0,2,2,1,1,2,,,
1vlLq0zDrVzB6vB2Mx3jPQ,Linda,4,01/07/2014 00:44,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
1WfbbaKZqQO5M51GU-xf7A,Madison,48,16/03/2009 18:38,48,3,4,1,4.27,0,0,0,0,0,2,1,0,0,0,1,1,,,
1wL7kwIOsz2so197QUYWog,Roger,47,02/04/2010 09:03,61,38,16,0,2.56,0,0,0,0,0,0,0,0,0,0,1,0,,,
1YWR-WO7tKGpylseZdnlvA,Kristy,1,08/05/2016 01:55,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
1Z8g8lyU6ILsItOKJmJmxQ,Suzanne,237,15/11/2010 22:14,352,121,146,13,3.97,6,2,2,1,0,2,14,5,5,5,1,0,,,
1zgzbkoMybArUOpFt3qkew,Lady,121,01/10/2006 18:38,306,85,99,6,4.07,2,3,1,1,0,12,20,9,9,2,1,0,,,
1zZiHPeIZjTxL-LQb1hE_w,Paige,4,21/09/2016 23:39,1,2,0,0,2.75,0,0,0,0,0,0,0,0,0,0,1,0,,,
206yXBtbokCKCSikFf9OFA,Barbara,1,28/02/2015 19:09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,
21AbaCC_sErNpGZUoNJwVw,Jeff,8,12/06/2017 20:29,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,,,
21Kuy5Cv3SKj27zTPGf-tg,Jacqueline,158,13/07/2013 00:09,125,32,22,3,3.36,0,0,0,0,0,2,1,0,0,1,1,0,,,
220HBfw8DKPtPK9D7VzcDw,Miranda,2,24/08/2017 06:35,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,,,
25W8CVIdQDIkyPb8ISCGpQ,Chris,569,19/01/2009 14:30,1606,604,636,57,3.66,30,6,8,1,0,38,47,62,62,26,1,9,,,
-269LHg-gL3WkLnuccpbew,Christine,38,25/03/2009 22:22,75,14,22,1,4.66,0,1,0,0,0,0,1,0,0,0,1,1,,,
-28RqJIrddOj9hhMBnzaFA,Lisa,70,27/06/2010 18:46,105,26,20,3,3.04,1,0,0,0,0,3,6,0,0,0,1,0,,,
29VwtsSFV6P8jXtq4VkvuA,Kimberly,8,11/10/2012 15:50,0,0,1,0,4.7,0,0,0,0,0,0,0,0,0,0,1,0,,,
2abm_8wxPxYtXmDUbvix9w,Linda,71,16/07/2010 16:05,91,14,9,0,3.29,0,0,0,0,0,0,2,0,0,0,1,0,,,
2ad9Ug6RNpE3AhCRpus4mg,Artemis,120,26/07/2011 16:39,220,105,51,1,2.94,0,0,0,0,0,5,0,0,0,0,1,0,,,
2AI0rtQKxB9taZIzZnLOpQ,Philip,6,12/10/2013 20:24,2,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,1,0,,,
2BAfnwGmpkjDoXMbA2gnaw,William,3,13/02/2018 17:28,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,
2bALcacAPNRJ3LNYHtVvNg,Sonia,11,18/12/2011 02:59,23,13,15,1,4.08,0,0,0,0,0,0,0,0,0,0,1,0,,,
2BZKas9NucYcI9i6-In4ag,Clayton,81,11/10/2010 17:23,190,26,39,5,4.34,0,1,0,0,0,1,1,0,0,2,1,0,,,
2cDZXRjJIB5vYNiYbHu2dw,Sama,13,09/12/2015 21:56,1,1,4,2,4.54,0,0,0,0,0,0,0,0,0,0,1,0,,,
2Do1JhDzr2OpolpLNVi1JA,Kyle,21,22/06/2015 14:53,7,1,2,1,4.57,0,0,0,0,0,0,0,0,0,0,1,0,,,
2Dw8pN49gh09jXSJXepjbQ,S,35,02/01/2010 05:54,31,10,18,0,3.9,0,0,0,0,0,0,0,0,0,0,1,0,,,
2gc394YsIzbdPwsp0KMDqA,Cheryl,5,28/09/2012 22:57,3,1,0,0,4.2,0,0,0,0,0,1,0,0,0,0,1,0,,,
2gsSW1QOGB0tij-Tn0N39w,Gwen,13,10/04/2016 01:23,2,1,0,0,4.5,0,0,0,0,0,0,0,0,0,0,1,0,,,
2GWwSLiPpOXZxlT7iFeERg,Ashley,7,27/12/2016 04:53,2,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,1,0,,,
2HchhLgGj16aITZGVy0hqA,Yi,2977,12/01/2008 00:14,8195,4315,4585,360,3.72,207,53,44,27,42,130,207,429,429,206,1,51,,,
2hF74osS1cryijd88BpsXg,Navid,180,22/07/2011 16:52,119,33,31,3,3.88,6,1,1,2,0,2,10,9,9,7,1,1,,,
2hIxPlDjtGchlCgfo7clQQ,Az,9,25/01/2010 04:33,12,9,7,0,2.22,0,0,0,0,0,0,0,0,0,0,1,0,,,
2hPB83XGvb3InsZQwAHmUw,Bri,159,04/04/2012 18:22,143,17,42,3,4.17,1,1,0,1,0,0,0,3,3,0,1,1,,,
